Город;Субъект РФ;численность, тыс. чел.;муж., тыс. чел.;жен., тыс. чел
Москва;Московская область;10101,5;4749;5352,5
Санкт-Петербург;Петербурская область;4669,4;2099,4;2570
Новосибирск;Новосибирская область;1425,6;651,8;773,8
Нижний Новгород;Нижегородская область;1311,2;583,7;727,5
Екатеринбург;Свердловская область;1293;582,4;710,6
Самара;Самарская область;1158,1;523,8;634,3
Омск;Омская область;1133,9;519;614,9
Казань;Республика Татарстан;1105,3;495,5;609,8
Челябинск;Челябинская область;1078,3;487,8;590,5
Ростов-на-Дону;Ростовская область;1070,2;489,7;580,5
Уфа;Республика Башкортостан;1042,4;477,1;565,3
Волгоград;Волгоградская область;1012,8;463,3;549,5
Пермь;Пермская область;1000,1;451,7;548,4
Красноярск;Красноярский край;911,7;413,4;498,3
Саратов;Саратовская область;873,5;393,5;480
Воронеж;Воронежская область;848,7;382,1;466,6
Тольятти;Самарская область;701,9;329,9;372
Краснодар;Краснодарский край;644,8;293,5;351,3
Ульяновск;Ульяновская область;635,6;291,5;344,1
Ижевск;Удмуртская Республика;632,1;285,6;346,5
Ярославль;Ярославская область;613,2;274,2;339
Барнаул;Алтайский край;603,5;271,8;331,7
Иркутск;Иркутская область;593,4;269,4;324
Владивосток;Приморский край;591,8;278,4;313,4
Хабаровск;Хабаровский край;582,7;273;309,7
Новокузнецк;Кемеровская область;550,1;251,1;299
Оренбург;Оренбургская область;548,8;251,8;297
Рязань;Рязанская область;521,7;238,5;283,2
Пенза;Пензенская область;518,2;234,7;283,5
Тюмень;Тюменская область;510,7;237;273,7
Набережные Челны;Республика Татарстан;510;236,6;273,4
Астрахань;Астраханская область;506,4;233,5;272,9
Липецк ;Липецкая область;506;231,9;274,1
Томск;Томская область ;487,7;226,3;261,4
Кемерово;Кемеровская область;485;219,1;265,9
Тула;Тульская область;472,3;209,5;262,8
Махачкала;Республика Дагестан;466,8;223,6;243,2
Киров;Кировская область;457,4;202,8;254,6
Чебоксары;Чувашская Республика;440,8;198,2;242,6
Иваново;Ивановская область;432,2;191,3;240,9
Брянск;Брянская область;431,6;193,5;238,1
Калининград;Калининградская область;430,3;203,3;227
Магнитогорск;Челябинская область;419,1;192,8;226,3
Курск;Курская область;412,6;185,6;227
Тверь;Тверская область;409,4;180,6;228,8
Нижний Тагил;Свердловская область;390,6;180,1;210,5
Улан-Удэ;Республика Бурятия;359,4;166,1;193,3
Архангельск;Архангельская область;355,5;159,8;195,7
Ставрополь;Ставропольский край;354,6;162,5;192,1
Курган;Курганская область;345,7;155,8;189,9
Белгород;Белгородская область;337,6;153,5;184,1
Мурманск;Мурманская область;336,7;156,9;179,8
Калуга;Калужская область;335,1;150,7;184,4
Орел;Орловская область;333,6;149,4;184,2
Сочи;Краснодарский край;328,8;150,3;178,5
Смоленск;Смоленская область;325,5;145,9;179,6
Чита;Читинская область;317,8;149,6;168,2
Владимир;Владимирская область;316,3;143,6;172,7
Владикавказ;Республика Северная Осетия-Алания;315,1;147,3;167,8
Череповец;Вологодская область;312,2;144;168,2
Волжский;Волгоградская область;310,7;143,2;167,5
Саранск;Республика Мордовия;304,9;136;168,9
Тамбов;Тамбовская область;294,3;131,9;162,4
Вологда;Вологодская область;292,8;131;161,8
Сургут;Ханты-Мансийский автономный округ;285,5;140,7;144,8
Таганрог;Ростовская область;282,3;127,2;155,1
Комсомольск-на-Амуре;Хабаровский край;281;132,3;148,7
Кострома;Костромская область;279,4;125,9;153,5
Нальчик;Кабардино-Балкарская Республика;273,9;122,7;151,2
Петрозаводск;Республика Карелия;266,2;118,1;148,1
Стерлитамак;Республика Башкортостан;264,4;121,1;143,3
Дзержинск;Нижегородская область;261,4;117,6;143,8
Братск;Иркутская область;259,2;118,9;140,3
Йошкар-Ола;Республика Марий Эл;256,8;115,9;140,9
Орск;Оренбургская область;250,6;112,3;138,3
Ангарск;Иркутская область;247,1;113,1;134
Нижневартовск;Ханты-Мансийский автономный округ;239;118;121
Новороссийск;Краснодарский край;231,9;110,7;121,2
Сыктывкар;Республика Коми;230;105,4;124,6
Нижнекамск;Республика Татарстан;225,5;106,1;119,4
Прокопьевск;Кемеровская область;224,6;103;121,6
Грозный;Чеченская Республика;223;102,6;120,4
Рыбинск;Ярославская область;222,8;100,5;122,3
Шахты;Ростовская область;220,4;100,7;119,7
Благовещенск;Амурская область;218,8;101,2;117,6
Бийск;Алтайский край;218,6;98,1;120,5
Великий Новгород;Новгородская область;217,2;94,9;122,3
Старый Оскол;Белгородская область;216;99,6;116,4
Зеленоград;городская администрация г. Москвы;215,9;100,6;115,3
Якутск;Республика Саха (Якутия);209,5;97,1;112,4
Псков;Псковская область;202,7;91,1;111,6
Северодвинск;Архангельская область;201,5;93,5;108
Балаково;Саратовская область;200,6;91,9;108,7
Петропавловск-Камчатский;Камчатская область;198,2;99,9;98,3
Златоуст;Челябинская область;194,8;89,3;105,5
Армавир;Краснодарский край;193,9;87,1;106,8
Энгельс;Саратовская область;193,8;89,2;104,6
Сызрань;Самарская область;187,8;85,9;101,9
Каменск-Уральский;Свердловская область;186,3;83,9;102,4
Подольск;Московская область;181,5;81,2;100,3
Южно-Сахалинск;Сахалинская область;174,7;82;92,7
Березники;Пермская область;173,5;78,1;95,4
Новочеркасск;Ростовская область;170,9;81,7;89,2
Волгодонск ;Ростовская область;166,5;76,3;90,2
Абакан;Республика Хакасия;165,2;76,3;88,9
Рубцовск;Алтайский край;163,1;77,9;85,2
Майкоп;Республика Адыгея;162,4;73,3;89,1
Мытищи;Московская область;159,2;70,6;88,6
Миасс;Челябинская область;158,5;72,3;86,2
Салават;Республика Башкортостан;158,5;76,6;81,9
Уссурийск;Приморский край;157,8;76,4;81,4
Люберцы;Московская область;156,9;70,2;86,7
Ковров;Владимирская область;155,6;72,4;83,2
Коломна;Московская область;150,1;69,3;80,8
Находка;Приморский край;149,3;73,4;75,9
Балашиха;Московская область;148,2;69,6;78,6
Электросталь;Московская область;146,1;65,9;80,2
Королев;Московская область;143,1;64,4;78,7
Химки ;Московская область;141,3;65,5;75,8
Альметьевск;Республика Татарстан;140,5;65,7;74,8
Пятигорск;Ставропольский край;140,3;63,4;76,9
Норильск;Красноярский край;135,1;67,5;67,6
Одинцово;Московская область;134,7;64,1;70,6
Новомосковск;Тульская область;134;60,5;73,5
Первоуральск;Свердловская область;132,8;60,9;71,9
Невиномысск;Ставропольский край;132,1;62,3;69,8
Серпухов;Московская область;131,2;60,1;71,1
Димитровград;Ульяновская область;130,9;61,3;69,6
Кисловодск;Ставропольский край;129,8;58,9;70,9
Камышин;Волгоградская область;128,1;61,3;66,8
Муром;Владимирская область;126,8;56,7;70,1
Назрань;Республика Ингушетия;126,7;56,9;69,8
Новочебоксарск;Чувашская Республика;125,9;59,3;66,6
Нефтекамск;Республика Башкортостан;122,3;57;65,3
Орехово-Зуево;Московская область;122,3;53,8;68,5
Хасавюрт;Республика Дагестан;122;58,4;63,6
Ачинск;Красноярский край;118,7;53,9;64,8
Ногинск;Московская область;118;53,7;64,3
Елец;Липецкая область;116,7;53,2;63,5
Черкесск;Карачаево-Черкесская Республика;116,4;52,6;63,8
Северск;Томская область;115,7;54,4;61,3
Сергиев Посад;Московская область;113,8;51,9;61,9
Щелково;Московская область;113,7;53,3;60,4
Новокуйбышевск;Самарская область;113;51,3;61,7
Ленинск-Кузнецкий;Кемеровская область;112,3;52,3;60
Арзамас;Нижегородская область;109,5;50;59,5
Октябрьский;Республика Башкортостан;108,7;50,2;58,5
Нефтеюганск;Ханты-Мансийский автономный округ;107,8;53,2;54,6
Батайск;Ростовская область;107,3;50,6;56,7
Киселевск;Кемеровская область;106,4;49,1;57,3
Новотроицк;Оренбургская область;106,2;51,1;55,1
Обнинск;Калужская область;105,8;48,9;56,9
Великие Луки;Псковская область;105;47;58
Элиста;Республика Калмыкия;104,3;47,3;57
Железнодорожный ;Московская область;104,1;47,1;57
Кызыл;Республика Тыва;104,1;48,3;55,8
Ухта;Республика Коми;103,5;49,4;54,1
Сарапул;Удмуртская Республика;103,2;46,7;56,5
Канск;Красноярский край;103,1;48,1;55
Соликамск;Пермская область;102,8;48,1;54,7
Междуреченск;Кемеровская область;102;47,9;54,1
Жуковский;Московская область;101,9;46,9;55
Новошахтинск;Ростовская область;101,2;46,6;54,6
Глазов;Удмуртская Республика;100,9;45,9;55
Дербент;Республика Дагестан;100,8;48,6;52,2
Усть-Илимск;Иркутская область;100,6;48,2;52,4
Серов;Свердловская область;100,3;44,8;55,5
Зеленодольск;Республика Татарстан;100,1;45,1;55
